Title,Company,Working Place,Location,Post Date,Number of Positions,Applicants,Career Level,Education,Salary,Job Category,Skills,Job Description
Technical Support Engineer - Air Conditioning & Refrigerator,Full Time,On-site,,Posted 1 month ago,92,1 open position,4 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Company Transportation , Social , Life & Medical Insurance , Bonus",Installation/Maintenance/Repair,Electronics Technical Support Computer Skills Microsoft Office English Engineering Communication SVC Computer Science Information Technology (IT)
Wordpress Developer,Full Time,On-site,N/A,Posted 22 days ago,29,1 open position,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,WordPress WordPress CMS WordPress Development MySQL Computer Science back-end PHP JavaScript jQuery CSS3 HTML5 front-end
Optical Fiber Engineer,Full Time,On-site,,Posted 18 days ago,45,2 open positions,5 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,Engineering Design Communication Installation Telecommunication Network Design System Integration Fiber Optics passive infrastructure Telecommunication Engineering FTTH GPON OSPF OSP ISP
Production Manager,Full Time,On-site,,Posted 2 months ago,103,1 open position,10 To 15 Years,Manager,Not Specified,Confidential,Operations/Management,Management Manufacturing Pharmaceutical Production
Recruitment Specialist,Full Time,On-site,,Posted 3 days ago,23,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, + Quarter Bonus",Administration,Communication excel Human Resources (HR) Real Estate Recruitment Personnel Manufacturing Construction Microsoft Office
Sales Specialistl (desntist),Full Time,Hybrid,,Posted 5 days ago,5,4 open positions,2 To 5 Years,Experienced (Non-Manager),Not Specified,"Confidential, Commission",Medical/Healthcare,Sales Negotiation Communication
Product Owner,Full Time,On-site,,Posted 2 months ago,55,1 open position,7 To 10 Years,Manager,Not Specified,Confidential,Banking,Product Product Owner Software Engineering Information Technology (IT) Computer Science Agile
Learning & Development Specialist,Full Time,On-site,,Posted 11 days ago,15,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Human Resources,Human Resources (HR) Training Microsoft Office Communication
Senior Software Sales Engineer,Full Time,On-site,,Posted 1 month ago,8,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Computer Science computer Information Technology (IT) Leads Sales Software Selling Engineering customer needs Science Software Development Software Engineering
Payroll Specialist,Full Time,On-site,,Posted 30 days ago,32,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Human Resources,Human Resources (HR) Microsoft Excel Labor Human Resources HR excel Communication Payroll
Property Advisor (0 Experience),Full Time,On-site,,Posted 17 days ago,5,1 open position,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Sales/Retail,Communication Communication skills Real Estate Sales
Senior Architecture Technical office engineer ( Site),Full Time,On-site,,Posted 2 months ago,68,1 open position,8 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Other,Construction Architecture Engineering Real Estate
Bilingual Spanish/English Customer Service Agent - Alexandria,Full Time,On-site,,Posted 1 month ago,9,10 open positions,0 To 5 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Customer Service/Support,Customer Service Customer Care Customer Support Communication Skills Computer Skills Call Center Spanish English
Senior planning Engineer,Full Time,On-site,,Posted 2 months ago,78,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Confidential",Engineering - Mechanical/Electrical,Mechanical Planning SAP Management Engineering Communication Information Technology (IT)
Video Editor,Full Time,Remote,,Posted 20 days ago,106,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,Graphic Design Video Editing Video Design Social Media Aftereffect Adobe Premiere Pro Motion Graphics Adobe After Effects Adobe Photoshop After Effects Editing
Senior Java Developer,Full Time,On-site,,Posted 22 days ago,15,2 open positions,More Than 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Engineering Git Information Technology (IT) Java OOP Software Computer Science Software Engineering Software Development Web Development SQL Spring Boot spring Framework
Financal Advisor,Full Time,Remote,,Posted 1 month ago,30,10 open positions,1 To 6 Years,Experienced (Non-Manager),Not Specified,"Confidential, Salaries Will Be In EGP",Banking,Customer Care Finance English Sales sales skills Telesales Financial Banking Insurance
Technical Support,Full Time,On-site,,Posted 25 days ago,117,2 open positions,3 To 5 Years,Experienced (Non-Manager),Not Specified,12000 To 15000 EGP Per Month,IT/Software Development,Management Business Administration business Communication computer Customer Service Help desk Software technical Linux IT Information Technology (IT) Computer Science Cisco Technical Support
Senior Internal Auditor,Full Time,On-site,,Posted 17 days ago,59,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Profit Share. - Transportation Provided",Accounting/Finance,Accounting Accounting Software Auditing auditor Business Administration CIA Computer Skills Finance Financial Analysis Internal auditor MS Office
"Production Manager, Tissue Mill & Convert Paper",Full Time,On-site,N/A,Posted 2 months ago,100,1 open position,10 To 15 Years,Manager,Bachelor'S Degree,Male,Operations/Management,Chemical Engineering Production Engineering Manufacturing Converting Engineering Paper Production tissue
Sales Office Coordinator,Full Time,On-site,N/A,Posted 2 months ago,20,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Administration,Communication Customer Service Sales Office management Administration Business Administration Microsoft Office sales skills MS Office
Foreign English Teacher - Dokki Branch,Full Time,On-site,,Posted 5 days ago,21,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Education/Teaching,Teaching Education Nurseries English Communication Skills Foreign teacher
Graphic Designer,Full Time,On-site,,Posted 2 days ago,17,2 open positions,1 To 7 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,8000 To 10000 EGP Per Month,Engineering - Construction/Civil/Architecture,Adobe illustrator Arts Design Adobe Photoshop illustrator Graphic Design photoshop indesign Graphic Fine Arts
Admin office manager,Full Time,On-site,,Posted 2 months ago,169,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Administration Microsoft Office Communication skills excel MS Office administrative Admin Communication Office management
Logistics & Foreign Purchasing Senior Specialist,Full Time,On-site,,Posted 16 days ago,100,1 open position,More Than 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,Foreign Purchasing Export Import Manufacturing Supply Chain Logistics Procurement Purchasing ERP
Sales Representative,Full Time,Hybrid,,Posted 4 days ago,23,6 open positions,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,Communication Communication skills Customer Service Management sales skills Sales Sales Target Home appliances customer relationship Customer CRM Skills
Head of Community Manager,Full Time,Remote,,Posted 20 days ago,56,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,Community manager moderation Social Media Communication skills
Fresh Real Estate Agent,Full Time,On-site,,Posted 2 months ago,12,1 open position,0 To 6 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commissions",Sales/Retail,broker Communication Negotiation Real Estate Real Estate Agent Sales sales skills Sales Target Experience
Digital Marketing Specialist - Real Estate (MUST),Full Time,On-site,,Posted 13 days ago,17,1 open position,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,Advertising Digital Marketing digital marketing Google Analytics Social Media Real Estate SEO E-Marketing campaigns
Recruitment Specialist,Full Time,On-site,,Posted 1 month ago,30,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,7000 To 8000 EGP Per Month,Human Resources,Talent acquisition Recruitment Human Resources (HR) Personnel Microsoft Office
Credit Analysis Assistant Manager,Full Time,On-site,,Posted 2 months ago,36,2 open positions,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting Finance Financial Analysis Analysis Credit Analysis Banks
Marketing Engineer,Full Time,Hybrid,,Posted 24 days ago,16,2 open positions,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,Electrical Engineering Presentation Skills Marketing sales skills
Administrative Assistant,Full Time,On-site,,Posted 12 days ago,50,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Administration,administrative assistant Assistant
Warehouse Keeper,Full Time,On-site,,Posted 11 days ago,29,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Administration,Warehouse Management Warehouse Warehousing Supply Chain Storage Management Logistics
Finishing Engineer,Full Time,On-site,,Posted 24 days ago,29,1 open position,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,architectural Architectural Engineering Architecture Engineering English Finishes Finishing Interior
Call Center Specialist - Fluent in English - Alex,Full Time,Hybrid,,Posted 4 days ago,Be the First to Apply,N/A,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),High School (Or Equivalent),Confidential,Customer Service/Support,Customer Care Customer Support Sales Call Center Contact Center work from home Fluent in English English WFH vodafone remote Communication c1 _VOIS Customer Service Communication skills
Lead Generation Specialist,Full Time,On-site,,Posted 23 days ago,18,1 open position,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Business Development,Business Development Communication sales skills Communication skills Research Sales Organizational skills Lead Generation
Sales Coordinator,Full Time,On-site,N/A,Posted 30 days ago,20,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Customer Service Sales Sales coordinator sales skills
Front End Developer,Freelance / Project,Remote,,Posted 10 days ago,274,1 open position,3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,JavaScript CSS front-end SEO Web Development Design Computer Science Development Information Technology (IT) Software Software Development
Technical Support Specialist,Full Time,On-site,,Posted 11 days ago,190,1 open position,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Customer Service/Support,computer Computer Science Customer Care Customer Service Customer Support Help desk Technical Support Software
Sales Executive,Full Time,On-site,,Posted 26 days ago,5,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,Customer Service Executive Sales Sales Executive sales skills
B 2 B Sales Manager,Full Time,On-site,,Posted 2 months ago,158,1 open position,5 To 10 Years,Manager,Not Specified,Confidential,Business Development,B2B B2B Sales business Business Administration Communication Communication skills Marketing Negotiation Real Estate Sales sales skills Sales Target
Operational Officer,Full Time,On-site,,Posted 11 days ago,18,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Administration Accounting Management Office management Operations
Sales Team lead (Business Development),Full Time,Remote,,Posted 2 months ago,95,1 open position,5 To 7 Years,Manager,Not Specified,5000 To 7000 SAR Per Month,Sales/Retail,B2B Sales Sales Target sales skills
Telecom (Electrical & Mechanical) Senior Engineer,Full Time,On-site,,Posted 1 month ago,69,2 open positions,6 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,Design Engineering Telecom AutoCAD Design Electrical Systems CAD Software Telecommunications Telecommunication Telecom Engineering Telecommunication Engineering telecom infrastructure telecom power systems system layouts produce technical drawings                 
Marketing Specialist,Full Time,On-site,,Posted 10 days ago,16,1 open position,1 To 10 Years,Manager,Bachelor'S Degree,Confidential,Marketing/PR/Advertising,marketing specialist Marketing E-Marketing Communication Computer Skills Digital Marketing digital marketing Google Adwords HTML Market Research media SEO Social Media Writing
Sales Engineer - Electromechanical,Full Time,On-site,,Posted 25 days ago,6,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Commission & Allowances",Sales/Retail,Sales Sales Skills Outdoor Sales Sales Target Engineering Electrical Engineering Mechanical Engineering Eelectro-Mechanical Contracting Communication Management Mechanical Negotiation
accountant - auditor,Full Time,On-site,,Posted 2 months ago,147,2 open positions,2 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,accountant Accounting auditor Accounting principles analytical Finance Financial Management GAAP Generally Accepted Accounting Principles Financial Analysis MS Excel
Secrtary,Full Time,On-site,,Posted 9 days ago,27,1 open position,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Find Out Salary Details During The Interview.",Administration,Secrtary English Office management Admin adminstration
Sales,Full Time,On-site,N/A,Posted 1 month ago,14,4 open positions,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,"Confidential, Commission",Customer Service/Support,Sales Target Cash Customer Customer Service Sales
React Native Developer,Full Time,Hybrid,,Posted 2 months ago,96,2 open positions,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,react native Android Computer Science Information Technology (IT) Software Engineering Software Development UI UX Software Engineering React
Commercial Director - Real State,Full Time,On-site,,Posted 22 days ago,55,1 open position,More Than 20 Years,"Senior Management (CEO, GM, Director, Head)",Bachelor'S Degree,Confidential,Business Development,Administration business Budgeting Business Administration Commercial Commercial Director Finance Financial Market Research Marketing Sales sales skills
Social Media Specialist,Full Time,On-site,,Posted 5 days ago,24,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Bonus",Marketing/PR/Advertising,campaigns Communication skills E-Marketing Social Media Marketing Communication Content media social Arabic English journalism
BIM Electrical Engineer,Full Time,On-site,,Posted 2 months ago,37,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Attractive Salary Paid In USD",Engineering - Mechanical/Electrical,BIM Electrical MEP Electrical Engineering Revit AutoCAD Design Engineering Management Project Management
media buying expert - E-Commerce Performance Marketing,Full Time,Hybrid,N/A,Posted 1 month ago,10,1 open position,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,Ads campaigns Digital Marketing digital marketing E-Commerce facebook Google Ads Google Analytics Marketing Media Buying media Planning Social Media
Hiring now collections Representative,Full Time,On-site,,Posted 4 days ago,7,10 open positions,0 To 2 Years,Experienced (Non-Manager),Not Specified,"Confidential, Confidential, We Offer Attractive Package Fixed Salary + Incentives By AED",Customer Service/Support,callcenter Collection collector officer customerservice English Telecommunication
Desktop Publishing Specialist (DTP and OCR),Full Time,Hybrid,,Posted 3 days ago,Be the First to Apply,N/A,More Than 2 Years,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,Adobe illustrator Adobe Photoshop Adobe Indesign DTP Arabic illustrator English indesign Microsoft Office photoshop Desktop Publishing powerpoint Localization OCR ABBYY QC framemaker
Product Designer (industrial),Full Time,On-site,,Posted 1 month ago,21,1 open position,2 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,Design Prototyping Freehand Sketching Digital Imaging WoodWorks Laser cutting CNC 3D Design
Call center Advisor |English| B1+/ B2|e&UAE,Full Time,On-site,,Posted 2 days ago,Be the First to Apply,N/A,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,13000 To 23000 EGP Per Month,Administration,Customer Service sales chat 888 B2B call center Agent Agent backoffice fluency Profinet sales skills Communication Microsoft Office English Teaching English Instructing Teaching English as a Foreign Language Foregin Language Advisor Inquiries complains UK            
Project Engineer,Full Time,On-site,,Posted 26 days ago,42,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,Engineering Project
Manager - Data Intelligence Analyst,Full Time,On-site,Almosafer,Posted 2 months ago,73,1 open position,5 To 8 Years,Manager,Bachelor'S Degree,Confidential,Analyst/Research,Power BI Quicksight Tableau Genesys LiveEngage Data Analytics SQL Microsoft Office Administration business Business Administration Communication Communication skills English Management quality Quality Assurance Python
Maintenance Planning Section Head,Shift Based,On-site,N/A,Posted 4 days ago,8,1 open position,10 To 12 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,Maintenance Engineering mechanical power Mechanical Engineering
Medical Representative,Full Time,Remote,,Posted 9 days ago,30,10 open positions,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Medical/Healthcare,Communication Communication skills Medical Sales Pharmacy Representative sales skills Negotiation Science Skills Sales Medical Vet
Real Estate Sales Manager,Full Time,On-site,,Posted 5 days ago,5,100 open positions,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6000 To 10000 EGP Per Month,Business Development,Real Estate Sales sales skills Advisor Sales Target Outdoor Sales Customer Support Brokerage Property Sales Real Estate Sales
Sales Representative Consultant,Part Time,Remote,,Posted 15 days ago,54,20 open positions,More Than 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6 To 6 USD Per Hour,Sales/Retail,Outbound Sales citizenship Communication Communication skills Customer Service Experience sales skills Sales Target
Digital Marketing,Full Time,On-site,,Posted 25 days ago,41,1 open position,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Medical & Social Insurance - Flexible Working Hours KPIs",Marketing/PR/Advertising,Digital Digital Marketing Marketing SEO SEM Media Buying Communication Digital campaigns digital marketing E-Marketing Social Media Writing Creative campaigns
ERP Administrator,Full Time,On-site,,Posted 2 months ago,57,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Odoo ERP Odoo Development Odoo Computer Science Configuration ERP Troubleshooting computer Communication ERP Software ERP Implementation
Property Consultant - Real Estate,Full Time,On-site,,Posted 2 months ago,9,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,Communication Communication skills Management Real Estate Sales S sales skills Sales Target Skills English Property Sales Property consultant Advisor
Senior .Net Developer,Full Time,On-site,,Posted 1 month ago,56,2 open positions,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Information Technology (IT) .NET ASP.NET Computer Science Computer Engineering Software Development C# MVC HTML Angular OOP Engineering Software Software Engineering
Fundraising Secretary\Fundraising Telesales\Call Center Fundraising Manager\Fund Corporate Representative,Full Time,On-site,,Posted 20 days ago,22,35 open positions,1 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,Call Center Call Assessment Call Monitoring Marketing Digital Marketing Online Marketing Internet Marketing Web Marketing Market Research Fundraising Administration Executive Management Management Corporate Sales Corporate Branding Telesales 
English Teacher,Full Time,On-site,,Posted 22 days ago,10,4 open positions,4 To 10 Years,Experienced (Non-Manager),Not Specified,"Confidential, Social Insurance,Annual Bonuses,Avaliable Transportation To 6th Of October City, Shiekh Zayed, Hadeak Al Ahram",Education/Teaching,Classroom Management English Education english language English Teaching KG Teacher Teaching Management Communication English Teacher
Animator / Customer Relation Agent,Full Time,On-site,,Posted 22 days ago,Be the First to Apply,N/A,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Customer Care Customer Support Customer Service English Sales
Account Officer,Full Time,On-site,,Posted 1 month ago,35,1 open position,4 To 8 Years,Experienced (Non-Manager),Not Specified,8000 To 12000 EGP Per Month,Accounting/Finance,Account officer Accounting Accounts Payable Finance Microsoft Office
Agricultural R&D Manager,Full Time,On-site,,Posted 2 months ago,44,1 open position,10 To 12 Years,Manager,Master'S Degree,Confidential,R&D/Science,Agriculture R&D Communication skills Data Analysis R&D Research Science Software Project Management Engineering
Procurement Engineer,Full Time,On-site,,Posted 1 month ago,78,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,Civil Architecture Engineering Procurement Supply Chain Communication Skills Computer Skills TO Fit-Out Purchasing
Accountant,Full Time,On-site,N/A,Posted 1 month ago,94,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Quarterly Bounce",Accounting/Finance,Accounting Tax Accounting Finance Accounting Software CMA CPA Financial Analysis Financial Management General Ledger GAAP excel
Tender Engineer,Full Time,On-site,,Posted 3 days ago,48,1 open position,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,BOQ Cost Estimation Bidding Tendering Method Statements variation order Communication skills Estimation Engineering tender
Receptionist,Full Time,On-site,,Posted 26 days ago,29,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Administration,Communication skills Reception Communication Administration Customer English Office management Microsoft Office Admin
Sr. Technical Office Engineer (Architectural),Full Time,On-site,,Posted 16 hours ago,80,3 open positions,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,Architectural Engineering Architectural Technical Office AutoCAD Revit 3D Max 3D Engineering Microsoft Office English Software Microsoft Word Architecture
Real Estate Broker,Full Time,Hybrid,,Posted 1 month ago,10,3 open positions,1 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,Real Estate Sales Brokerage real estate broker Property Sales real estate sales Administration Business Administration Management Negotiation sales skills Sales Target Communication
Administrative Manager,Full Time,On-site,,Posted 3 days ago,24,1 open position,1 To 3 Years,"Senior Management (CEO, GM, Director, Head)",Bachelor'S Degree,"10000 To 12000 EGP Per Month, 12000 Net Salary + 8000 KPIs",Hospitality/Hotels/Food Services,Food Team Leadership International Food Safety Management Systems Standard Budgeting Finance quality Accounting Leadership Food & Beverage
Python Developer,Full Time,Remote,,Posted 1 month ago,191,2 open positions,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,35000 To 45000 EGP Per Month,IT/Software Development,Computer Science back-end Development Django Flask MongoDB Python python development Design Information Technology (IT) MySQL PostgreSQL Software Development
Technical Support,Full Time,On-site,,Posted 10 days ago,65,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,Linux MySQL Information Technology (IT) Technical Support Database Networking Computer Science
Full stack Software Developer,Full Time,On-site,,Posted 16 days ago,99,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,Angular Computer Science Information Technology (IT) Programming Software Software Development JavaScript HTML
Service Operation Financial Analyst,Full Time,Hybrid,,Posted 1 month ago,14,1 open position,3 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,Accounting Communication
Technical Manager,Full Time,On-site,,Posted 1 month ago,30,1 open position,10 To 15 Years,Manager,Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,Engineering Project Management Oil Gas English Oil Field Oil & Gas
Trade Marketing Senior Executive,Full Time,On-site,,Posted 27 days ago,35,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,E-Marketing Marketing Social Media Trade Trade marketing Analysis Sales Performance Management (SPM) Retail Business Retail Financial Data Analysis
IT Specialist,Full Time,On-site,,Posted 1 month ago,136,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,CCNA computer Computer Science Information Technology (IT) ERP Installation Linux Network technical Technical Support Troubleshooting
Export sales specialist,Full Time,Hybrid,,Posted 15 days ago,19,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Logistics/Supply Chain,Export Sales Sales Export Customer Service Sales Specialist English sales skills Sales Target
Technical Support UK and Ireland,Full Time,Remote,,Posted 5 days ago,18,51 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),High School (Or Equivalent),Confidential,Customer Service/Support,Customer Care Customer Support Sales Call Center Contact Center work from home Fluent in English English WFH vodafone remote Communication c1 _VOIS Customer Service Communication skills
Cost Accountant,Full Time,On-site,,Posted 8 days ago,64,1 open position,3 To 12 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,accountant Accounting Cost Accountant Finance Financial Analysis
MEP Technical Office Engineer,Full Time,On-site,,Posted 18 days ago,35,1 open position,3 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,Engineering Mechanical Engineering Revit MEP AutoCAD Technical Office
Civil Technical Office Engineer,Full Time,On-site,,Posted 1 month ago,101,3 open positions,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, * Medical Insurance * Commission And Bonuses",Engineering - Construction/Civil/Architecture,AutoCAD Engineering Civil Engineering Shop Drawings Site Management Technical Office Engineering Civil civil 3d Communication
Secretary and personal assistant,Full Time,On-site,N/A,Posted 2 months ago,115,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Assistant Secretary personal assistant Administration Communication skills Management Office management MS Office Microsoft Office
Shift Manager,Full Time,On-site,,Posted 2 months ago,7,1 open position,5 To 7 Years,Manager,Not Specified,Confidential,Pharmaceutical,Pharmacy Customer Care
Sales Supervisor,Part Time,Hybrid,,Posted 1 month ago,22,4 open positions,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Sales/Retail,Sales sales skills Communication Customer Service Experience Education Sales Target Training
Electrical Sales Engineer,Full Time,On-site,N/A,Posted 2 months ago,12,2 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,8000 To 12000 EGP Per Month,Business Development,LV panel Distribution board Panel builder Electrical Engineering Communication CRM Electrical Sales Sales Target Sales Engineering sales skills
Property Advisor (Fresh Graduates),Full Time,On-site,,Posted 26 days ago,18,15 open positions,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Business Development,Customer Service Communication Real Estate Sales sales skills Sales Target Skills Negotiation
Sales & Marketing Executive,Full Time,On-site,N/A,Posted 23 days ago,28,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Commission Available",Business Development,Sales Target Sales Marketing Communication Negotiation negotiation skills Sales and marketing sales skills analytical
Senior Service Advisor Engineer,Full Time,On-site,,Posted 1 month ago,16,1 open position,4 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,Customer Service Customer Care Automotive sales skills Problem-Solving Attention to Detail Mechanical Engineering Mechanical Engineering Engineering Services service advisor Communication Repair Customer Support Service
Operations Manager,Full Time,On-site,,Posted 2 months ago,94,1 open position,10 To 20 Years,Manager,Bachelor'S Degree,Male,Operations/Management,Operations Management Management Manufacturing Industry
Full Stack Developer ( web & mobile ),Full Time,On-site,,Posted 25 days ago,13,1 open position,More Than 5 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,IT/Software Development,Software Development Communication skills Web Development Mobile Development Frameworks flutter Web Mobile
Real Estate Agent (Fresh),Full Time,On-site,,Posted 2 months ago,13,100 open positions,1 Year,Entry Level (Junior Level / Fresh Grad),Diploma,Confidential,Sales/Retail,broker Real Estate Agent Sales Real Estate
Medical Representative -Behira,Full Time,Remote,,Posted 2 months ago,20,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Incentive, Commission And Step Up Rewarding Programs /Car Allowance And Transportation Policy.",Medical/Healthcare,Sales Marketing Promotion Detailing Territoy Management Pharmaceutical Medical Planning Veterinary Science Pharmacy Microsoft Office Sales Skills Sales Target English
Agriculture Manager,Full Time,On-site,,Posted 1 month ago,63,1 open position,6 To 7 Years,Manager,Bachelor'S Degree,Confidential,Operations/Management,Agriculture Communication Farming Engineering Agricultural Data Analysis Management
HR Operation Specialist,Full Time,On-site,,Posted 2 months ago,109,1 open position,1 To 2 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,Communication Human Resources Odoo Retail HRIS HR Specialist
IT Help Desk,Full Time,On-site,,Posted 1 month ago,224,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,Troubleshooting Security Software Hardware Computer System Information Technology (IT) Computer Engineering Computer Science Help Desk Installation Networking Communication Skills Communication Technical
